iter	RMSE
271	1.641343934
272	1.640931457
273	1.639972225
274	1.63707217
275	1.635767698
276	1.635449154
277	1.63257306
278	1.630474887
279	1.629477381
280	1.626687006
281	1.625696003
282	1.624751029
283	1.624474908
284	1.622822032
285	1.6199181
286	1.618967147
287	1.61634393
288	1.614882003
289	1.614375421
290	1.614065309
291	1.610909434
292	1.610026423
293	1.607814753
294	1.606394735
295	1.604190801
296	1.603266416
297	1.602019249
298	1.599250211
299	1.59572461
300	1.593561292
301	1.591167769
302	1.590212077
303	1.589283044
304	1.588764514
305	1.585791324
306	1.583784748
307	1.582677143
308	1.581049419
309	1.580021033
310	1.577512587
311	1.576179308
312	1.574196302
313	1.570688402
314	1.570579013
315	1.568435095
316	1.566957538
317	1.566195441
318	1.56409019
319	1.563333694
320	1.560879407
321	1.560783248
322	1.558733451
323	1.557099
324	1.556019851
325	1.553923379
326	1.552730624
327	1.552487089
328	1.551948198
329	1.551315516
330	1.54994979
331	1.54841022
332	1.547376883
333	1.544834827
334	1.544266137
335	1.542826483
336	1.539954868
337	1.538393754
338	1.537480981
339	1.535263202
340	1.534827576
341	1.532839799
342	1.530931395
343	1.530830605
344	1.527951824
345	1.527200072
346	1.524713624
347	1.523000897
348	1.522507055
349	1.520504543
350	1.518551507
351	1.517448813
352	1.51700707
353	1.516254594
354	1.516146944
355	1.515406445
356	1.512826977
357	1.512500316
358	1.509843671
359	1.509581802
360	1.50800918
361	1.506817302
362	1.506711278
363	1.504763391
364	1.50465602
365	1.503769326
366	1.502027183
367	1.500784651
368	1.499722789
369	1.498293861
370	1.497640422
371	1.497525218
372	1.496497756
373	1.495762029
374	1.494493018
375	1.492756368
376	1.492019175
377	1.491905516
378	1.490101566
379	1.488704108
380	1.488616837
381	1.487073895
382	1.484431648
383	1.48332919
384	1.480762575
385	1.480657351
386	1.480061767
387	1.478069745
388	1.477741228
389	1.477294012
390	1.477163203
391	1.476282324
392	1.476202597
393	1.474896844
394	1.473846923
395	1.473127049
396	1.471750878
397	1.470777458
398	1.470057082
399	1.468593074
400	1.466586576
401	1.466002856
402	1.463906515
403	1.461926554
404	1.461185544
405	1.460132483
406	1.459067447
407	1.458995444
408	1.458620217
409	1.458525491
410	1.457411839
411	1.455934242
412	1.45491688
413	1.452745512
414	1.449163568
415	1.448089665
416	1.446584348
417	1.444603747
418	1.44447317
419	1.44438282
420	1.442925697
421	1.442838874
422	1.441882719
423	1.440002439
424	1.439344736
425	1.437364793
426	1.436341571
427	1.435506718
428	1.434708203
429	1.433117082
430	1.431450997
431	1.429909213
432	1.429344619
433	1.426861589
434	1.425685883
435	1.425472349
436	1.424393936
437	1.423845983
438	1.422248411
439	1.421367486
440	1.420788304
441	1.419985144
442	1.418814841
443	1.418033584
444	1.417158784
445	1.415651452
446	1.414784197
447	1.414285283
448	1.413676274
449	1.413238311
450	1.411867951
451	1.410379165
452	1.408553261
453	1.406738052
454	1.405224207
455	1.404244748
456	1.40401281
457	1.402581527
458	1.400993246
459	1.399171056
460	1.39770365
461	1.396958312
462	1.395003332
463	1.394145566
464	1.393783216
465	1.392492744
466	1.388229265
467	1.387159708
468	1.38516217
469	1.384803771
470	1.384415013
471	1.383081036
472	1.382513683
473	1.38199126
474	1.380567407
475	1.379999556
476	1.377298957
477	1.377170748
478	1.376311796
479	1.375621992
480	1.37430536
481	1.373177672
482	1.371758687
483	1.370538162
484	1.369975132
485	1.368943548
486	1.366681558
487	1.365429293
488	1.364055228
489	1.36230162
490	1.361211956
491	1.359848973
492	1.358197132
493	1.356324058
494	1.355048832
495	1.354492899
496	1.352773254
497	1.351168724
498	1.350032731
499	1.348540809
500	1.347077646
501	1.34576147
502	1.344726562
503	1.344296478
504	1.343136318
505	1.342414728
506	1.340227753
507	1.339274453
508	1.337588194
509	1.336003071
510	1.334838245
511	1.333240806
512	1.33272371
513	1.330413988
514	1.329688933
515	1.329105418
516	1.328198986
517	1.327005003
518	1.326372859
519	1.325744611
520	1.324903155
521	1.323212054
522	1.322630984
523	1.321775304
524	1.320419601
525	1.318991096
526	1.318599072
527	1.317924872
528	1.317380739
529	1.317262327
530	1.31647075
531	1.315001879
532	1.312463289
533	1.310871227
534	1.308707024
535	1.307545132
536	1.306709665
537	1.305746431
538	1.305022965
539	1.304559217
540	1.303333145
541	1.302010382
542	1.300996611
543	1.299786679
544	1.299014094
545	1.297613833
546	1.296598397
547	1.296162328
548	1.295743577
549	1.294804925
550	1.293791252
551	1.292826954
552	1.291779508
553	1.291181772
554	1.289132813
555	1.288471396
556	1.285456154
557	1.284506227
558	1.283108965
559	1.282059527
560	1.281273659
561	1.279273177
562	1.277098842
563	1.276546397
564	1.275728127
565	1.275213999
566	1.274431625
567	1.273867299
568	1.273479541
569	1.271991374
570	1.271280825
571	1.270689767
572	1.269728213
573	1.269073949
574	1.267899914
575	1.266749116
576	1.265848434
577	1.264428178
578	1.263746191
579	1.262862821
580	1.262001852
581	1.260939522
582	1.258580312
583	1.258005546
584	1.257546196
585	1.256286277
586	1.255171447
587	1.254781339
588	1.25311684
589	1.252208609
590	1.251043334
591	1.250297569
592	1.249384716
593	1.248362658
594	1.247254058
595	1.246494917
596	1.245050255
597	1.244513415
598	1.243695336
599	1.243213701
600	1.242762173
601	1.24170471
602	1.240330546
603	1.239054076
604	1.238748307
605	1.238270025
606	1.236838601
607	1.235900485
608	1.234907082
609	1.234337185
610	1.233249662
611	1.232736912
612	1.231274544
613	1.230628937
614	1.230159599
615	1.229858605
616	1.227924878
617	1.227004655
618	1.226456844
619	1.225661963
620	1.224826081
621	1.224166982
622	1.223411865
623	1.221675724
624	1.220567262
625	1.219847145
626	1.219265753
627	1.218494846
628	1.217806551
629	1.216637379
630	1.215994509
631	1.215601614
632	1.214311291
633	1.213364779
634	1.212820468
635	1.21201556
636	1.211010589
637	1.210205883
638	1.208627318
639	1.207864537
640	1.206644619
641	1.205983461
642	1.205539945
643	1.204710154
644	1.203024119
645	1.201824438
646	1.200838955
647	1.199451241
648	1.198731478
649	1.197901646
650	1.1964474
651	1.196019465
652	1.195025176
653	1.194256907
654	1.193598629
655	1.192918083
656	1.192567624
657	1.191096145
658	1.191044152
659	1.189001694
660	1.188434418
661	1.186732261
662	1.185875991
663	1.184603251
664	1.184175786
665	1.182982347
666	1.181463607
667	1.181094955
668	1.179259313
669	1.177836783
670	1.176902163
671	1.175837926
672	1.175072932
673	1.17438074
674	1.173797404
675	1.173247759
676	1.172344621
677	1.171542173
678	1.170104223
679	1.168780124
680	1.167965596
681	1.167161824
682	1.165885794
683	1.165035423
684	1.164552173
685	1.163832331
686	1.16338769
687	1.163198055
688	1.162182371
689	1.162144036
690	1.16159554
691	1.160975602
692	1.159985734
693	1.159572861
694	1.158391172
695	1.15779614
696	1.15747786
697	1.156789047
698	1.156466222
699	1.155998376
700	1.154550108
701	1.15427101
702	1.153127031
703	1.152349051
704	1.151869017
705	1.151044105
706	1.149855013
707	1.149086331
708	1.14853235
709	1.14799912
710	1.147966252
711	1.146891859
712	1.146123776
713	1.144731442
714	1.14320804
715	1.142584976
716	1.142171456
717	1.140598711
718	1.140287627
719	1.138900632
720	1.138321513
721	1.137659677
722	1.136077918
723	1.135588892
724	1.134816946
725	1.134345751
726	1.133043152
727	1.130785291
728	1.129846455
729	1.128760976
730	1.128008224
731	1.127250448
732	1.124911129
733	1.124028075
734	1.123169155
735	1.122202637
736	1.12123898
737	1.120135768
738	1.119188847
739	1.118695126
740	1.118039584
741	1.116532853
742	1.115806201
743	1.11517519
744	1.113426457
745	1.112295937
746	1.11082054
747	1.110526065
748	1.109308925
749	1.108915524
750	1.107294833
751	1.106986325
752	1.106445217
753	1.105503604
754	1.10388799
755	1.103757398
756	1.102668023
757	1.101114778
758	1.100053012
759	1.099809242
760	1.098788275
761	1.098174304
762	1.09796786
763	1.097502805
764	1.09624968
765	1.09600537
766	1.094941553
767	1.09230503
768	1.090920121
769	1.09037233
770	1.08934695
771	1.089268869
772	1.088094493
773	1.087840011
774	1.086175998
775	1.085225961
776	1.085085878
777	1.083892757
778	1.082871648
779	1.081360986
780	1.080513544
781	1.079825789
782	1.079147676
783	1.07834878
784	1.077934128
785	1.076662495
786	1.075355511
787	1.074956462
788	1.074294509
789	1.073727919
790	1.072872737
791	1.072602806
792	1.071564083
793	1.071153048
794	1.071053182
795	1.070193977
796	1.069273252
797	1.066667424
798	1.065918386
799	1.065609387
800	1.064761655
801	1.063783316
802	1.063255828
803	1.062219243
804	1.061940987
805	1.060669163
806	1.059886438
807	1.059134244
808	1.057678474
809	1.056615224
810	1.056580837
811	1.0561834
812	1.055394127
813	1.054806409
814	1.053836333
815	1.053386507
816	1.051596548
817	1.050701948
818	1.048849346
819	1.04784769
820	1.046243249
821	1.045670565
822	1.045449938
823	1.044327954
824	1.04382223
825	1.042950108
826	1.042579486
827	1.041800665
828	1.04106577
829	1.040528715
830	1.039560813
831	1.038641483
832	1.037807035
833	1.03728866
834	1.036368872
835	1.035134133
836	1.034641361
837	1.03395349
838	1.032846628
839	1.031534336
840	1.031194134
841	1.030747694
842	1.030238534
843	1.029636981
844	1.02936629
845	1.028476345
846	1.027874298
847	1.027497343
848	1.027216812
849	1.025748624
850	1.024932672
851	1.023950253
852	1.022644336
853	1.021946342
854	1.021591952
855	1.020976427
856	1.020170338
857	1.019257959
858	1.018865639
859	1.0183422
860	1.017313282
861	1.016811437
862	1.016276212
863	1.015799263
864	1.014935227
865	1.01445375
866	1.013900069
867	1.013330721
868	1.012856697
869	1.012196147
870	1.011442167
871	1.010731497
872	1.009846809
873	1.008640138
874	1.007558203
875	1.007103063
876	1.006520882
877	1.006003051
878	1.005474381
879	1.003566648
880	1.002735389
881	1.002090299
882	1.001401888
883	1.000514641
884	0.9994975596
885	0.9992073128
886	0.9989025843
887	0.9984466424
888	0.9977628946
889	0.9970829648
890	0.9956450181
891	0.9953068671
892	0.9949330209
893	0.9941449197
894	0.9938552848
895	0.9931291605
896	0.9923130276
897	0.9912318833
898	0.990417314
899	0.989676851
900	0.9892380239
901	0.9888065117
902	0.9882113397
903	0.9874784291
904	0.9863062804
905	0.9857728845
906	0.9852434748
907	0.9848576598
908	0.9837416065
909	0.9835197864
910	0.9825751601
911	0.9820194893
912	0.9807591699
913	0.9802553056
914	0.9794728359
915	0.9786779617
916	0.978261442
917	0.9771152305
918	0.9764563555
919	0.9760645577
920	0.9753139888
921	0.9749062843
922	0.9737411818
923	0.9736021138
924	0.9730932422
925	0.9727567279
926	0.9718809661
927	0.9712021457
928	0.9707699309
929	0.9701038265
930	0.9694345594
931	0.9687728231
932	0.9682859691
933	0.9678667228
934	0.9673047348
935	0.9662912153
936	0.9657418658
937	0.9653894653
938	0.9642302016
939	0.9638195319
940	0.9633305124
941	0.9629138417
942	0.9620284142
943	0.9615107486
944	0.9612682982
945	0.9602699166
946	0.9596178523
947	0.95896554
948	0.9574479284
949	0.9566947464
950	0.9559010793
951	0.9550076182
952	0.9545658789
953	0.9543298483
954	0.9525946934
955	0.9518352627
956	0.9506184169
957	0.9499495182
958	0.9495935618
959	0.9491994996
960	0.9481016292
961	0.946043999
962	0.9456440871
963	0.9452754281
964	0.9448354744
965	0.9441370074
966	0.9437042258
967	0.9421327001
968	0.9415722627
969	0.9412137129
970	0.9402673777
971	0.9392195183
972	0.938303557
973	0.9378271229
974	0.93743303
975	0.9367968243
976	0.9366400273
977	0.9363400892
978	0.9358912028
979	0.9358583712
980	0.9353679401
981	0.935343773
982	0.9343758301
983	0.933474951
984	0.9329789062
985	0.9324949614
986	0.932007153
987	0.9314531494
988	0.9308401415
989	0.9304768837
990	0.930100858
991	0.9293138494
992	0.9285526079
993	0.928400905
994	0.9277271845
995	0.9270142516
996	0.926118465
997	0.9247081586
998	0.9239906569
999	0.9226117298
1000	0.9219564894
1001	0.9207047115
1002	0.9204341291
1003	0.9189586147
1004	0.9183635508
1005	0.9173615547
1006	0.9173395147
1007	0.9168739312
1008	0.9163264342
1009	0.9151409374
1010	0.9148927223
1011	0.9140931712
1012	0.9130958273
1013	0.9120307661
1014	0.9108938693
1015	0.9105187293
1016	0.9099752566
1017	0.9092872701
1018	0.9089301502
1019	0.9085498459
1020	0.908093739
1021	0.9071619615
1022	0.9071389959
1023	0.9068644147
1024	0.9065906597
1025	0.9060808284
1026	0.9055045321
1027	0.9046010144
1028	0.9041050537
1029	0.9033350562
1030	0.9026846426
1031	0.9021461112
1032	0.9019550559
1033	0.9009695896
1034	0.9004269045
1035	0.9000720764
1036	0.8996074399
1037	0.8992199278
1038	0.8986058385
1039	0.8984748008
1040	0.8976272692
1041	0.8970436612
1042	0.8964952947
1043	0.8957753441
1044	0.8950979779
1045	0.8948635424
1046	0.8944808561
1047	0.8941271453
1048	0.8939532614
1049	0.8935945264
1050	0.8930495919
1051	0.8927205014
1052	0.8924135624
1053	0.8917997734
1054	0.8913113185
1055	0.891000706
1056	0.8905432661
1057	0.8900092495
1058	0.8893694621
1059	0.8883288018
1060	0.8879239509
1061	0.8870969658
1062	0.8861692806
1063	0.8850057584
1064	0.8839994804
1065	0.8836624853
1066	0.8828020787
1067	0.882410488
1068	0.8817646832
1069	0.8812115054
1070	0.8804118688
1071	0.8802582016
1072	0.8799570985
1073	0.8792866875
1074	0.879095514
1075	0.8784789379
1076	0.8779502329
1077	0.8776698594
1078	0.8772999504
1079	0.8757420018
1080	0.8750535458
1081	0.8743376803
1082	0.8740232135
1083	0.8736397961
1084	0.8725346713
1085	0.8720891587
1086	0.8713228774
1087	0.8711112233
1088	0.8705136187
1089	0.8701754614
1090	0.8697766652
1091	0.8695654616
1092	0.8688232378
1093	0.8679194776
1094	0.8673967193
1095	0.8661050439
1096	0.8648414148
1097	0.8646364556
1098	0.8633440691
1099	0.8625653357
1100	0.8622106242
1101	0.8618374965
1102	0.8612784522
1103	0.8610054346
1104	0.8603703494
1105	0.8602411503
1106	0.8594529974
1107	0.858999158
1108	0.8583198806
1109	0.8572330901
1110	0.8566460045
1111	0.8562007153
1112	0.8559602273
1113	0.8556374406
1114	0.8543200632
1115	0.8537885495
1116	0.8532383177
1117	0.852380997
1118	0.8519963032
1119	0.8514815115
1120	0.8509834218
1121	0.8504337661
1122	0.8499611579
1123	0.8496515555
1124	0.8495995256
1125	0.8490389499
1126	0.8484586334
1127	0.8482270685
1128	0.8476035578
1129	0.8469480798
1130	0.8466185756
1131	0.8462909743
1132	0.8454731471
1133	0.8441900872
1134	0.8430347333
1135	0.842636582
1136	0.8422041333
1137	0.8416075966
1138	0.841118681
1139	0.840440707
1140	0.8401121899
1141	0.8393633964
1142	0.8387267223
1143	0.8381701886
1144	0.8376615218
1145	0.8370393319
1146	0.8362363642
1147	0.8354908338
1148	0.8353786438
1149	0.834746205
1150	0.8340684864
1151	0.8332828048
1152	0.8326000702
1153	0.8322229587
1154	0.8318673276
1155	0.8311392884
1156	0.8307317445
1157	0.8302695859
1158	0.8295016822
1159	0.8290352229
1160	0.8289045801
1161	0.8285484748
1162	0.8282688298
1163	0.8279749673
1164	0.8277320878
1165	0.8273214453
1166	0.8269609282
1167	0.8262538991
1168	0.8254712753
1169	0.8251422739
1170	0.8243846031
1171	0.8238871314
1172	0.8236217944
1173	0.8233816038
1174	0.8229087703
1175	0.8219738447
1176	0.8216205069
1177	0.8211667282
1178	0.8207055085
1179	0.8199522032
1180	0.8191602407
1181	0.8187854788
1182	0.8183785574
1183	0.8179943902
1184	0.8172680217
1185	0.8163164925
1186	0.815559294
1187	0.815176314
1188	0.8147270683
1189	0.8145493661
1190	0.8140905223
1191	0.8137569937
1192	0.8132137005
1193	0.812750792
1194	0.8124523386
1195	0.8117718007
1196	0.8115688544
1197	0.8115208048
1198	0.8107667328
1199	0.8106039969
1200	0.810369563
1201	0.8096388397
1202	0.809353042
1203	0.8086466082
1204	0.8081253582
1205	0.8073132138
1206	0.8068578996
1207	0.805930685
1208	0.8056049246
1209	0.8050011771
1210	0.8047351631
1211	0.804162109
1212	0.8038010457
1213	0.8033963813
1214	0.8030080519
1215	0.8025535424
1216	0.8025392039
1217	0.8019983461
1218	0.8018866432
1219	0.801105563
1220	0.800698492
1221	0.8003173981
1222	0.7997197721
1223	0.7992843046
1224	0.7987914524
1225	0.7984770674
1226	0.7971042871
1227	0.7964171745
1228	0.7957888463
1229	0.7954695792
1230	0.7951013334
1231	0.7945145615
1232	0.793772893
1233	0.7927878154
1234	0.7915480521
1235	0.7911260596
1236	0.7907480061
1237	0.7905302032
1238	0.7900767277
1239	0.7893986996
1240	0.7893840015
1241	0.7890079591
1242	0.7886346752
1243	0.7881980121
1244	0.7881087073
1245	0.7877752331
1246	0.7872729319
1247	0.7868260509
1248	0.7860793149
1249	0.7855644057
1250	0.7846385544
1251	0.7839413068
1252	0.7830880464
1253	0.7825934393
1254	0.7817969415
1255	0.7814760223
1256	0.7809149897
1257	0.7801862519
1258	0.779414461
1259	0.779028082
1260	0.7786026853
1261	0.7779259672
1262	0.7774975206
1263	0.7766801814
1264	0.7757326215
1265	0.7752345646
1266	0.7751075764
1267	0.7743279137
1268	0.7739328198
1269	0.7735237195
1270	0.77267554
1271	0.7724270611
1272	0.7721336315
1273	0.7718744586
1274	0.7716395633
1275	0.771047806
1276	0.770628931
1277	0.7697648333
1278	0.7693172555
1279	0.7684021268
1280	0.7668943183
1281	0.7658535525
1282	0.7653667314
1283	0.7647734798
1284	0.7642672975
1285	0.763550246
1286	0.7630872539
1287	0.7627833323
1288	0.7622648576
1289	0.7618575854
1290	0.7614641399
1291	0.7609832407
1292	0.760126427
1293	0.7597567008
1294	0.759342119
1295	0.7588829895
1296	0.7581695286
1297	0.7577258131
1298	0.7569485475
1299	0.7567185483
1300	0.7563675575
1301	0.755400247
1302	0.7550716048
1303	0.7542134569
1304	0.7535565253
1305	0.7529280897
1306	0.7519926627
1307	0.7516176661
1308	0.7513251052
1309	0.7508912027
1310	0.7499369962
1311	0.7497161639
1312	0.7486941421
1313	0.7482891931
1314	0.7479870932
1315	0.747758078
1316	0.747344069
1317	0.7470841758
1318	0.7465551071
1319	0.7456983448
1320	0.7453830841
1321	0.7450539098
1322	0.7446687749
1323	0.744421201
1324	0.7436843298
1325	0.7432790791
1326	0.7430486695
1327	0.7424689426
1328	0.7422313091
1329	0.7420513641
1330	0.7414336254
1331	0.7411853464
1332	0.7405845302
1333	0.7400286686
1334	0.7396369036
1335	0.7391162293
1336	0.7389562037
1337	0.738392364
1338	0.73776555
1339	0.7369121435
1340	0.736574019
1341	0.7362169482
1342	0.7357535248
1343	0.7352809799
1344	0.7343310181
1345	0.7337356992
1346	0.733151835
1347	0.7324667487
1348	0.7320336235
1349	0.7310018227
1350	0.7302800361
1351	0.7293967783
1352	0.7289986653
1353	0.7284967762
1354	0.7278029489
1355	0.7276296022
1356	0.7269248759
1357	0.7264680479
1358	0.7257988432
1359	0.725222041
1360	0.7246822591
1361	0.7240813098
1362	0.7237903899
1363	0.7232266257
1364	0.7227185465
1365	0.7217955537
1366	0.7212793205
1367	0.7205802228
1368	0.720412124
1369	0.7197566338
1370	0.7196263585
1371	0.7189010614
1372	0.7186802874
1373	0.7184112644
1374	0.7177796724
1375	0.7174601766
1376	0.7169405226
1377	0.716311537
1378	0.7157934615
1379	0.715449278
1380	0.7151879853
1381	0.7147788224
1382	0.7140686303
1383	0.7136090793
1384	0.7132707599
1385	0.7129185421
1386	0.7119821202
1387	0.7116534066
1388	0.7114136926
1389	0.7107005775
1390	0.7100217967
1391	0.7092063088
1392	0.7090040358
1393	0.7087035883
1394	0.7083745309
1395	0.7080658931
1396	0.7076826146
1397	0.7074060577
1398	0.7067420193
1399	0.7062253757
1400	0.705690918
1401	0.7052411843
1402	0.7048341756
1403	0.7047387663
1404	0.7044303807
1405	0.7040980771
1406	0.7038016186
1407	0.7035889706
1408	0.7025350871
1409	0.7022346695
1410	0.7018622831
1411	0.7015757161
1412	0.7010049491
1413	0.700781205
1414	0.7000770976
1415	0.6997591124
1416	0.6991256873
1417	0.6989081193
1418	0.6982710701
1419	0.6982258278
1420	0.6978997242
1421	0.6975291828
1422	0.6972422997
1423	0.6963050001
1424	0.6958192916
1425	0.6951001502
1426	0.6949694735
1427	0.6944161906
1428	0.6940506683
1429	0.6934765444
1430	0.6926088723
1431	0.6922902196
1432	0.6919283666
1433	0.6914844389
1434	0.6910663133
1435	0.690875105
1436	0.6907107884
1437	0.6902772951
1438	0.690038202
1439	0.689753349
1440	0.6891300338
1441	0.6888784351
1442	0.6884814372
1443	0.6878824239
1444	0.6874208409
1445	0.6870798986
1446	0.6869915432
1447	0.6863074939
1448	0.6860658048
1449	0.6858694718
1450	0.6855656664
1451	0.6852879517
1452	0.6848505123
1453	0.6842204139
1454	0.6837374333
1455	0.6831989434
1456	0.6830333455
1457	0.6821275765
1458	0.6815676817
1459	0.6808732319
1460	0.6804453191
1461	0.6801658222
1462	0.6796802724
1463	0.6795382067
1464	0.6790419756
1465	0.6788305002
1466	0.6781295434
1467	0.6777427108
1468	0.6769869253
1469	0.6768575107
1470	0.6760936312
1471	0.6755406336
1472	0.675336909
1473	0.6745351603
1474	0.6737639279
1475	0.6733941256
1476	0.6732199098
1477	0.6728635295
1478	0.6725189682
1479	0.6718623034
1480	0.6712012319
1481	0.6707925056
1482	0.670236131
1483	0.6693726072
1484	0.6688220076
1485	0.6686562961
1486	0.6683328364
1487	0.6682278333
1488	0.6678085976
1489	0.667333644
1490	0.6666573395
1491	0.6665458633
1492	0.6660194373
1493	0.6655544012
1494	0.6653524525
1495	0.6648556539
1496	0.6646356206
1497	0.6644426797
1498	0.6643795384
1499	0.6640770349
